trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time
100,80,1,cognitive_hand,0,ACC,hand,2,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,924.0,924.0,929.3
101,81,1,cognitive_hand,1,SPD,hand,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,932.0,932.0,937.3
102,82,1,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,940.0,940.5,945.8
103,83,1,cognitive_hand,1,ACC,hand,3,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,948.0,949.5,954.3
104,84,1,cognitive_hand,0,ACC,hand,2,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,958.0,958.0,964.3
105,85,1,cognitive_hand,1,SPD,hand,1,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,968.0,968.0,973.8
106,86,1,cognitive_hand,1,ACC,hand,3,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,976.0,977.0,982.8
107,87,1,cognitive_hand,0,ACC,hand,2,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,986.0,986.0,992.3
108,88,1,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,996.0,996.5,1002.8
109,89,1,cognitive_hand,1,SPD,hand,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,1006.0,1006.0,1011.3
110,90,1,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,1014.0,1014.5,1020.3
111,91,1,cognitive_hand,1,ACC,hand,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,1024.0,1025.5,1031.3
112,92,1,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,1034.0,1034.0,1038.8
113,93,1,cognitive_hand,1,ACC,hand,3,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,1042.0,1043.0,1049.3
114,94,1,cognitive_hand,1,SPD,hand,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,1052.0,1052.0,1056.8
115,95,1,cognitive_hand,1,ACC,hand,3,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,1060.0,1060.0,1066.3
116,96,1,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,1070.0,1070.0,1075.3
117,97,1,cognitive_hand,0,ACC,hand,2,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,1078.0,1078.0,1083.3
118,98,1,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,1086.0,1086.5,1092.3
119,99,1,cognitive_hand,1,SPD,hand,1,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,1096.0,1097.5,1103.3
