trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
88,68,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,778.0,778.0,783.3,618.0,618.0,623.3
89,69,1,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,786.0,787.0,791.8,626.0,627.0,631.8
90,70,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,794.0,794.0,798.8,634.0,634.0,638.8
91,71,1,cognitive_eye,1,SPD,eye,1,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,802.0,802.5,807.3,642.0,642.5,647.3
92,72,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,810.0,811.0,816.8,650.0,651.0,656.8
93,73,1,cognitive_eye,0,ACC,eye,2,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,820.0,821.5,827.3,660.0,661.5,667.3
94,74,1,cognitive_eye,1,SPD,eye,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,830.0,831.0,837.3,670.0,671.0,677.3
95,75,1,cognitive_eye,1,SPD,eye,1,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,840.0,841.5,847.3,680.0,681.5,687.3
96,76,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,850.0,851.0,857.3,690.0,691.0,697.3
97,77,1,cognitive_eye,0,SPD,eye,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,860.0,861.5,867.8,700.0,701.5,707.8
98,78,1,cognitive_eye,1,ACC,eye,3,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,870.0,871.5,877.8,710.0,711.5,717.8
99,79,1,cognitive_eye,1,ACC,eye,3,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,880.0,880.0,885.3,720.0,720.0,725.3
100,80,1,cognitive_eye,1,ACC,eye,3,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,888.0,888.5,894.3,728.0,728.5,734.3
101,81,1,cognitive_eye,0,ACC,eye,2,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,898.0,898.5,904.8,738.0,738.5,744.8
102,82,1,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,908.0,909.0,915.3,748.0,749.0,755.3
103,83,1,cognitive_eye,1,SPD,eye,1,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,918.0,919.5,924.3,758.0,759.5,764.3
104,84,1,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,928.0,929.0,935.3,768.0,769.0,775.3
105,85,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,938.0,939.0,944.3,778.0,779.0,784.3
106,86,1,cognitive_eye,1,ACC,eye,3,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,948.0,949.0,954.8,788.0,789.0,794.8
107,87,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,958.0,958.0,963.8,798.0,798.0,803.8
108,88,1,cognitive_eye,0,ACC,eye,2,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,966.0,966.0,971.3,806.0,806.0,811.3
109,89,1,cognitive_eye,1,ACC,eye,3,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,974.0,975.0,981.3,814.0,815.0,821.3
110,90,1,cognitive_eye,0,SPD,eye,0,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,984.0,984.0,989.8,824.0,824.0,829.8
111,91,1,cognitive_eye,0,SPD,eye,0,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,992.0,992.0,997.3,832.0,832.0,837.3
112,92,1,cognitive_eye,1,ACC,eye,3,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,1000.0,1001.5,1006.8,840.0,841.5,846.8
113,93,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,1010.0,1011.0,1016.3,850.0,851.0,856.3
114,94,1,cognitive_eye,0,ACC,eye,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,1020.0,1021.5,1026.8,860.0,861.5,866.8
115,95,1,cognitive_eye,1,SPD,eye,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,1030.0,1031.0,1037.3,870.0,871.0,877.3
